Sent Value 1, 2023-05-30 21:12:39.507673
Received Value 2, 2023-05-30 21:12:39.507981
Sent Value 2, 2023-05-30 21:12:39.508223
Received Value 3, 2023-05-30 21:12:39.508485
Sent Value 3, 2023-05-30 21:12:39.508740
Received Value 4, 2023-05-30 21:12:39.509006
Sent Value 4, 2023-05-30 21:12:39.509246
Received Value 5, 2023-05-30 21:12:39.509507
Sent Value 5, 2023-05-30 21:12:39.509743
Received Value 6, 2023-05-30 21:12:39.510003
Sent Value 6, 2023-05-30 21:12:39.510257
Received Value 7, 2023-05-30 21:12:39.510537
Sent Value 7, 2023-05-30 21:12:39.510789
Received Value 8, 2023-05-30 21:12:39.511070
Sent Value 8, 2023-05-30 21:12:39.511311
Received Value 9, 2023-05-30 21:12:39.511588
Sent Value 9, 2023-05-30 21:12:39.511840
Received Value 10, 2023-05-30 21:12:39.512113
Sent Value 10, 2023-05-30 21:12:39.512349
Received Value 11, 2023-05-30 21:12:39.512600
Sent Value 11, 2023-05-30 21:12:39.512834
Received Value 12, 2023-05-30 21:12:39.513084
Sent Value 12, 2023-05-30 21:12:39.513318
Received Value 13, 2023-05-30 21:12:39.513568
Sent Value 13, 2023-05-30 21:12:39.513803
Received Value 14, 2023-05-30 21:12:39.514071
Sent Value 14, 2023-05-30 21:12:39.514317
Received Value 15, 2023-05-30 21:12:39.514572
Sent Value 15, 2023-05-30 21:12:39.514807
Received Value 16, 2023-05-30 21:12:39.515057
Sent Value 16, 2023-05-30 21:12:39.515292
Received Value 17, 2023-05-30 21:12:39.515555
Sent Value 17, 2023-05-30 21:12:39.515798
Received Value 18, 2023-05-30 21:12:39.516064
Sent Value 18, 2023-05-30 21:12:39.516310
Received Value 19, 2023-05-30 21:12:39.516572
Sent Value 19, 2023-05-30 21:12:39.516807
Received Value 20, 2023-05-30 21:12:39.517057
Sent Value 20, 2023-05-30 21:12:39.517292
Received Value 21, 2023-05-30 21:12:39.517542
Sent Value 21, 2023-05-30 21:12:39.517778
